id,api,# completed (subtask level),# completed (notes),techDiff,has-concept,has-fact,has-template,What information or strategies did you find most helpful?,What additional information would you have wanted?,Notes,Annotations,Nothing,Documentation,Code,TMI,Time,Search,PrevKnowledge,Experiment,PL knowledge,InfoFromDebugger,Other notes
12,D3,1.3,0,FALSE,TRUE,TRUE,TRUE,"Try to verify some code and see what happens to it, then I will know about what [?] they do.","it would be good to have a list of all the attributes it has, and a list of all the functions witha sentance of short introduction for each one. It's hard to find the correct one to use without looking through a lot of words for now.",0,F-W-Sp,,,,TMI,,,,Exp-U,,,
13,D3,1.3,0,FALSE,TRUE,TRUE,TRUE,"I found examples to be most useful. Finding something similar in the example code helped me understand the most. I used annotations, but descriptions were not as helpful as code examples.","The descriptions were all very good & helped me understand specific code easier. However, they do not let you broadly understand the code & what it is doing in the examples, so that kind of broad understanding & ""paragraph comments"" are very useful.",0,A-U~,,OD-W,EC-U EC-Cm-W,,,,,,,,
14,D3,0.2,0,FALSE,TRUE,TRUE,FALSE,* using annotations search bar * scanning through the code and annotations bank,* in-line comments that explain the code chunks,0,A-U,,,Cm-W,,,S-U,,,,,
16,D3,0.3,0,FALSE,TRUE,FALSE,TRUE,"ctrl+F! I used the same strategy as I did in the Natural task. This time, I could use Annotated code because there was a function name ""text"" and that became the anchor of my rest punt[?] of problem solving.","I wanted to understand what ""tagName"" meant Also, I wanted to know what kinds of attributes I could use to change the size of text font (Eventually there was a slight visual change on the left top, but couldn't enlarge it) But why was there Json? The task is not involved using JSon... unrelated info is distracting under limited time.",0,T-W-Sp,,,,TMI,Ti-W,S-U,,,PL-W,,
17,D3,exclude,js dom,FALSE,TRUE,TRUE,TRUE,"I looked at the example code to figure out how to vary the radius, and the annotations too. However I couldn's find out how to 'reduce the spaces' in either.",More information on circle packing. I probably could have figured it out from the example / annotations given more time.,0,A-U~ F-W-Sp C-W-Sp,,,EC-U,,Ti-W,,,,,,
18,D3,1.3,0,FALSE,FALSE,TRUE,FALSE,"<html>1) Control-F and find some keywords (e.g. ""title"", ""radius"") 2) I also tried ""print"" debugging, but it's <u>not</u> working. 3) Read the ""csv"" and ""css"" files for cross-referencing.</html>",breakpoint. More explanations on the function calls.,0,F-W-Sp,,,EC-U,,,S-U,,Exp-X,,,
19,D3,0.5,0,FALSE,TRUE,TRUE,TRUE,Annotations were not helpful. Explain things that either didn't make sense or had no immediate value.,I have no idea what is going on. Code was difficult to understand. Pretty discouragin. Don't know if I'm suppsed to be here.,0,A-X,,,Co-X,,,,,,,,
20,D3,1.2,0,FALSE,TRUE,FALSE,TRUE,Using the source code instead of the example code was more useful in this case. It already had a lot of information about the data API.,More libraries ofr mathematical functions (for calculating the [?] / sq root) A better and more related example code (the domain of example code & source code was different),0,,,,TC-U EC-W,,,,,,PL-W,,
21,D3,exfclude,js dom,FALSE,FALSE,FALSE,FALSE,"Some names in the source code were helpful to make educated guesses about how I might complete a task (i.e. ""r"" probably having something to do with a radius)","Some function names have no meaning to me (e.e. ""csv"" so documentation on their purpose would have probably helped",0,C-W-Sp,,,TC-VN-U TC-VN-W,,,,,,,,
22,D3,exclude,didn't finish 2 of task 1 before continuing,FALSE,FALSE,TRUE,TRUE,"Testing different things out, trying variations then seeing what it did.",This example wasn't super useful so a better example / more documentation,0,,,D-W,EC-X,,,,,Exp-U,,,
23,D3,3.1,0,FALSE,TRUE,TRUE,TRUE,Guess and check. Comparing a change made in my code to teh example to discover what additional changes need to be made.,"The facts and cocept difiitions which I need[?], but were buried under templates. An understanding of what the various attributes did. A high-level description of the d3 workflow.",0,,,OD-W,EC-U,,,,,Exp-U,,,F & C wanted but were buried under templates (annotation order
24,D3,exclude,html,FALSE,TRUE,FALSE,FALSE,Modifying parts of my code and checking what the result was.,"I would have wanted to know templates for how the library should be used, and descriptions of methods that were in my source code",0,T-W F-W-Sp,,,,,,,,Exp-U,,,
25,D3,0.3,0,FALSE,FALSE,FALSE,FALSE,Looking at the code written to try to understand the annotated code I'd look for key words when trying to decide what could would be useful,Annotations,0,A-W,,,EC-U,,,,,,,,
26,D3,1.2,0,FALSE,FALSE,FALSE,FALSE,example code,"""- no clue how to remove space between elements didn't see similar exampl in example code -> there probably was one - annotation would have helped - come up w/ some magic #s""",0,A-W,,,EC-U,,,,,,,,
27,D3,0.5,0,FALSE,TRUE,TRUE,FALSE,"""- trial and error - somewhat the annotations""","""- more comments in code - better annotations that are relevant for the task""",0,A-U~ A-W,,,Cm-W,,,,,Exp-U,,,
28,D3,0.3,0,FALSE,TRUE,FALSE,FALSE,The ability to view my running code in the browser to see what my changes to index.js did to the exoplanets page.,Probably a short tutorial on how to do basic things in d3 like appending text to the html page through the js file -> which I forgot how to do.,0,,,Tu-W,,,,,,Exp-U,,,
29,D3,0,0,FALSE,TRUE,TRUE,TRUE,"The FACT and CONCEPT cards were very helpful in understanding some things such as a 'pack.' However, I was unable to move past the title task because there was no example of a title.","I would have greatly enjoyed a sample title. I was able to understand the conceptual layout, but couldn't move past task 1 b/c I couldn't get text to display. I didn't understand the nested 'function(d) calls, and many parameters had unkown scope.",0,F-U C-U F-W-Sp,,,EC-W,,,,,,,,
30,D3,1.1,0,FALSE,FALSE,TRUE,TRUE,The annotated code was very useful. I also liked having a template to work off of.,"I don't think I need MORE information, but the annotations in teh annotated code was hard to navigate sometimes. I would have like more descriptive variable names, for example ""data"" rather than ""d"".",0,T-U A-W,,,EC-U EC-W,,,,,,,,
31,D3,exclude,js dom,FALSE,FALSE,FALSE,TRUE,I searched for the key objects that is mentioned in the tasks and read the portion of the code to understand how to use it.,"General description of the library, and list of objects and methods that it includes",0,F-W-Sp,,OD-W,Co-U,,,S-U,,,,,
32,D3,0.3,0,FALSE,TRUE,TRUE,FALSE,The find function was helpful,I would have liked more information on all of the functions added by D3. A list of all functions would have been nice. A bunch of smaller examples instead of one big one would have made this easier.,0,F-W-Sp,,,EC-W,,,S-U,,,,,
33,D3,1.3,0,FALSE,FALSE,FALSE,FALSE,"The information that I thought was helpful was that there was example of functions that I would use that was in teh annotated code, such as adding a title or editing the node size","""- Some info I thought would be helpful was that there could be templates for hwo to add circles - or concepts on what nodes were on svgs - I also thought that comments above each part would've been really helpful""",0,T-W C-W,,,EC-U Cm-W,,,,,,,,
34,D3,0.1,0,FALSE,TRUE,TRUE,TRUE,"Skimming through the example source code and my actual working code, trying to understand the format of both codes.","I think what would be cool, especially for people who are very visual, if the annotated code actually provides an output example instead of just sets of direction and notes. I understand what the code can do, I struggle very much how to use it.",0,,,,TC-U EC-U EC-W,,,,,,,,
35,D3,0.5,0,FALSE,TRUE,FALSE,TRUE,Templates and annotations are the most helpful,How D3 works with its stream of functions and explanations on how the attributes work,0,T-U F-W-Sp,,,,,,,,,,,
36,D3,0.1,0,FALSE,TRUE,TRUE,TRUE,"Having annotations was helpful, as well as example code. Most of it was explained as well which was good.","I was unable to figure out how to add the title to the visual, and the annotations that I expected to assit me with that weren't. So a little more specificity would have been helpful/",0,A-U A-X A-W,,,EC-U,,,,,,,,
37,D3,exclude,js dom,FALSE,FALSE,FALSE,TRUE,The template were helpful in trying to understand the code.,More information about d3 functions would be helpful,0,T-U F-W-Sp,,,,,,,,,,,
38,D3,0.2,0,FALSE,FALSE,TRUE,FALSE,The facts were most helpful. Seeing the example code & comparing it to my code was fairly straight-forward.,I wish I couldn've googled things since I haven't used JS or HTML in a while & couldn't remember how to write teh tags. Also wish someone who knew about this could answer questions or I could look up the functionality of things within the example code to improve my code / make it work.,0,F-U,,,TC-U EC-U,,,,,,PL-W,,"Google, ask person, [unclear reference]"
39,D3,0.2,0,FALSE,TRUE,FALSE,TRUE,"I had trouble with teh first task: appending a title; I didn't understand what the append function was returning. The templates were kinda helpful, but ultimately didn't describe what teh function returned. so the most useful info was from the code that was already there in the task.","function definitions and simple example usage i.e. append img[?] to text. note[?] comments such as: ""also uses d.x and d.y somewhere to layout x and y coordinates"" aren't helpful",0,F-W-Sp T-U~ T-X,,,TC-U EC-W,,,,,,,,
40,D3,exclude,js dom,FALSE,FALSE,TRUE,TRUE,This was hard. Couldn't figure out how to navigate the [?] graph. Reminded me of working w/ the DOM but I was too rusty to make progress Annotations helped,Time! Also how the appending works and the data structures.,0,A-U F-W-Sp,,,,,Ti-W,,,,PL-W (Rusty on Dom),,
41,D3,0.4,0,FALSE,TRUE,TRUE,TRUE,The templates are very useful for understanding the codes. I was trying to find the similarity between my tasks and the sample code.,I think with the information provided and enough time. I could achieve the tasks.,0,T-U,,,EC-U,,Ti-W,,,,,,
42,D3,1.1,0,FALSE,FALSE,FALSE,FALSE,"Again, just starting by copying snippets and seeing what changed... but I don't think it worked very well... :(",I had trouble figuring out what functions meants and what arguments they accepted... Also more example functions would be nice,0,F-W-Sp,,,EC-W CP-U~,,,,,Exp-U,,,
43,D3,1.2,0,FALSE,FALSE,TRUE,FALSE,"* Looking at how multiple pieces of data were processed Ex. How multiple circles were drawn * Understanding what an ""attribute"" was and how the package[?] utilized it (to draw the shapes) * Strategy: Looking at similarities between my code and the example code (because we were both drawing circles proportional to some number).","* How to scale the circles down once I made the radii r^2. * How to make sure the circles weren't overlapping * Understanding what a ""pack layout"" is from the example code",0,C-W-Sp F-W-Sp,,,TC-U EC-U,,,,,,,,
44,D3,exclude,didn't do title,FALSE,TRUE,TRUE,TRUE,"I am fairly out of touch with JS and have not learned modern libraries used to interact with the DOM. So, for me, reading through the annotated code helped serve as a refresher on hwo some basic things worked (as well as some understanding of things I'd never seen before).","Since I'm very rusty, some more descriptive variable names would have helped (rather than things like ""d3"" or ""pack"").",0,A-U,,,VN-W,,,,,,PL-W,,
45,D3,exclude,messed up title and continue,FALSE,FALSE,FALSE,FALSE,The screenshots and descriptions in the packet.,"Example JavaScript code, not just HTML and JSON. A title on teh example map. More information about D3.",0,,,TD-U D-W,EC-W,,,,,,,,
46,D3,1.3,0,FALSE,FALSE,FALSE,FALSE,Using the example and experimenting were helpful,I would've liked clearer example code. I didn't like the lack of annotations.,0,A-W,,,EC-U EC-W,,,,,Exp-U,,,
47,D3,0.4,0,FALSE,TRUE,TRUE,TRUE,"The annotations and examples were only relatively helpful, but the example code did not correlate that well with the tasks.","What the hierarchy of the library is (an explanation of it). Rather than just giving what one specific function means, but rather what the group of code does whollistically (chunks) like how to append text and having to use "".text"" to specify what text after[?] Just annotation on how functions relate.",0,A-U~ F-W-Sp T-W-Sp,,,EC-U~,,,,,,,,
48,D3,0.3,0,FALSE,TRUE,FALSE,FALSE,nothing was remotely useful,actual explanations of what steps need to be taken to create something,0,,N-U,Tu-W,,,,,,,,,
51,D3,1.3,0,FALSE,FALSE,FALSE,FALSE,"As w/ the [?] library, CTRL+F for a specific term to match my code w/ the example code was the best way to make progress. Identifying similarities between my code output and the example code output also helped me identify simulating[?] in the code that I could add / change.","Annotations or explanationg[?] w/ a basic template could have been nice. Info regarding poorly-named vars (""g"" in particular) would have been nice as well.",0,A-W T-W,,,TC-U EC-U VN-W,,,S-U,,,,,
54,D3,1.3,0,FALSE,FALSE,TRUE,FALSE,"""- guess + check - using control f to search document for clues / leads - viewing the example code - trying to translate code -> visual effect""","""- pretty js formating (colors, etc.)""",0,,,,EC-U,,,,,Exp-U,,,JS formatting (e.g. colors)
57,D3,0.5,0,FALSE,FALSE,FALSE,FALSE,Only the example was available to provide any useful information on how to add text.,Since no title was present in the example I had to guess which piece of code could produce text at a fixes position. I can only speak to task 1 because I spent all my time guessing ways to draw text in the screen. That would have helped to identify what information to look for in the code.,0,,,,EC-U EC-W,,,,,,,,
60,D3,exclude,js dom,FALSE,FALSE,FALSE,FALSE,Google chrome's helper info regarding the functions of a given thing you type. I used this to try to remember how to insert text with javascript.,"I was frustrated because I didn't feel like I actually got to explore teh javascript library. It's been a little while since I coded in javascript. So the first task, while simple, tripped me up because I was unable to quickly look up the information I needed. As a result I felt like I was floundering just trying to get the most basic part done.",0,,,,,,,,,,PL-W,Db-U,
61,D3,0.2,0,FALSE,TRUE,TRUE,TRUE,"I found the fact annotations most helpful. The template annotations were not very helpful because I did not understand the classes and methods, though the comments in teh templates were helpful. EDIT Now I see there is an example for the first task. I needed to scroll down and did not see it during the exercise.","I did not see any reference examples or others for the first task. I think I could have completed the other tasks, but I could not make it past the first. Also, the facts were helpful, but they used terms I did not understand. I would have liked to be able to look up those terms as well.",0,F-U T-X~ C-W-Sp,,,EC-U~ EC-W,,,,,,,,"""EDIT Now I see there is an example for the first task"""
67,D3,exclude,html,FALSE,TRUE,FALSE,FALSE,The concept information is helpful,"I did no know about the attribute attr, and I was confused about d.data",0,C-U F-W-Sp,,,,,,,,,PL-W,,
69,D3,1.4,0,FALSE,FALSE,TRUE,TRUE,"""- variable names - the highlight for each line * still feel like the template at the right side is hard to use""","""- ability to modify annotated Code.""",0,T-X,,,VN-U EC-W,,,,,Exp-W,,,
1,Natural,,"Participant said they discovered the ability to scroll annotations when nothing was selected later, which answers in part their additional info response",FALSE,TRUE,TRUE,TRUE,"I think briefly reviewing the uses of the library's functions and tools beforehand is useful as it helps you later when a problem is asked, to be able to roughly recall a tool that could help.","Maybe a brief listing of the tools and functions from the library, so that I wouldn't necessarily have to sit through the example code to find what I wanted. Maybe","Participant said they discovered the ability to scroll annotations when nothing was selected later, which answers in part their additional info response",F-W-Sp C-W-Sp,,,EC-U,,,,,,,,
2,Natural,,0,FALSE,TRUE,TRUE,TRUE,"By comparing the task code & example code, I found it easier to know where times [?] come from & it's parameters, it's easier [?] to think about word-base[?] process","Some additional Information would be some syntax, cuz the template some times are [?] very good[?] at showing the syntax of the code",0,F-W-Sp,,,TC-U EC-U,,,,,,,,
3,Natural,,0,FALSE,FALSE,TRUE,FALSE,"Comments are most helpful. I could understand mostly what the codes do, although it took me a while to understand. So I only had a few minutes to work on tasks. But I think this Task is more understandable comaring the first two. If I were to have more time, I think I might dig deeper into it.",Not much.,0,,N-W,,Cm-U,,Ti-W,,,,,,
4,Natural,,0,FALSE,FALSE,FALSE,FALSE,* Comments in the source code * pictures in the tasks,"* templates/comments/info about the example code, it had me completely lost looking at it. * Example code was useless to me. * More info on some of the funcitons / how they work",0,T-W F-W-Sp,,TD-U,TC-Cm-U EC-X EC-Cm-W,,,,,,,,
5,Natural,,0,FALSE,TRUE,TRUE,TRUE,"""- Refreshing the page with sample data was helpful - tried changing Some variables to see what would happen""","""- Knowing what other functions the NGram object had - didn't realize how much data / information there was on the documentation side""",0,F-W-Sp,,,,,,,,Exp-U,,,
6,Natural,,0,FALSE,FALSE,FALSE,FALSE,"""- Reading the annotated code example, even though there were no annotations - Modifying pieces of code and viewing subsequent changes in teh second tab - Reading/using the console and console.log to isolate parts of code""","""- Annotations on what each of the ""Ngrams"" functions/operations do - A more concise description of the task at hand.""",0,F-W-Sp,,TD-W,EC-U,,,,,Exp-U,,,
7,Natural,,0,FALSE,FALSE,TRUE,TRUE,"The comments within the code we were editing helped along with the function names and parameters being more familiar. Although I didn't get there, I already knew abou TF& IDF because we implemented it in CSE 373.",I tjhink this came down to just time for me.,0,,,,TC-Cm-U FN-U VN-U,,Ti-W,,PK-C-U,,,,
8,Natural,,0,FALSE,FALSE,FALSE,FALSE,Finding examples of what I needed in the example code,Annotations / descriptions of objects,0,A-W,,,EC-U,,,,,,,,
9,Natural,,0,FALSE,TRUE,TRUE,TRUE,Changing some of the values in the code and seeing how it reflected in the output increased understanding of certain lines. The Ngram tutorial was very well explained from the perspective of a new user.,Maybe some example lines of code on the task page in order to show how one would normally change / or what is normally changed for the particular function.,0,,,TD-U?,TC-W???,,,,,Exp-U,,,unclear ngram tutorial?
10,Natural,,0,FALSE,TRUE,TRUE,TRUE,Look at the annotations of the sample code,"Maybe use a more colloquial way to explain some of the terms in the ""concept"" part.",0,A-U C-W,,,,,,,,,,,
11,Natural,,0,FALSE,FALSE,FALSE,FALSE,Output expectations after each set of code within the annotated code,DEfinitions of each function would've helped a lot!,0,F-W-Sp,,,EC-U,,,,,,,,
12,Natural,,0,FALSE,TRUE,TRUE,FALSE,"Nothing here, totally lost",I didn't even finish task 1 because I can not find anywhere to get the information about how to modify how much words to select the example code is not so helpful for this one since its [???] but I think the main reason for this one to be hard is that the time is limited.,0,,N-U,,EC-X,,Ti-W,,,,,,
13,Natural,,0,FALSE,TRUE,FALSE,TRUE,"The information was very good. I outlined <u>how</u> to use each method, even if I totally missed one of the descriptions. I found this method descpriptions to be, by far, the most helpful because it allowed me to learn each method and understand the program on my own","Concise documentation, like java libraries",0,,,D-W,,,,,,,,,Unclear what they are referring to
14,Natural,,0,FALSE,TRUE,FALSE,FALSE,* reading through what bi/tri/ngrams are * familiarizing myself with the concepts before touching the code * comparing my output in the console vs the example output in the instructions,"* a more thorough explanation of tfidf (how it works, different applications, etc.) * an output file that's formatted a bit cleaner / easier to parse through quickly",0,C-U C-W-Sp,,TD-U,,,,,,Exp-U,,,"Unclear what ""output file"" is"
16,Natural,,They said: *I didn't look at the example code because I couldn't find the relationship between Task1 and this code? Maybe it was useful for the rest part of task?,FALSE,TRUE,FALSE,FALSE,Brute force? I used ctrl+F to find the function name and tried to modify the numbers related to change something for task Repeated modifying and reloading to compare the results between the console and the task sheet *The typical way I approach to fix my code,"I frankly overwhelmed the amount of code and wanted to find which part I should tackle. Also, I wanted to know which part of annotation is directly related to the task I work on. -- Because there were so much information and no clues to figure out how the info can be used for a specific task? -- Maybe because the function names were different?",They said: *I didn't look at the example code because I couldn't find the relationship between Task1 and this code? Maybe it was useful for the rest part of task?,,,,,TMI,,S-U S-W,,Exp-U,,,Unclear reference to function names
17,Natural,,0,FALSE,FALSE,TRUE,TRUE,"I mostly looked through my code to try to understand the method given to me, however I also used the annotations/example code to understand the differences betweem bigrams, ngrams, ets.","Access to Google, although I didn't run into any roadblocks, it just took me a while to familiarize myself to the code.",0,"A-U
",,,TC-U,,Ti-W,,,,,,Want Google
18,Natural,,0,FALSE,FALSE,FALSE,FALSE,"1) I maiinly use ""print"" debugging.",I'm not sure what I should modify in the second task. Until now I know it take array of strings rather than a single string.,0,F-W-Sp,,,,,,,,Exp-U,,,
19,Natural,,0,FALSE,TRUE,TRUE,FALSE,Comments were more helpful than annotations. [?] everything was helpful but confusing. Too much info presented.,Seems like a lot of information at first and was intimidating. Would have wanted more guidance? [?] to understand the program if not as time constrained [?] [?] [?],0,,,,Cm-U,TMI,Ti-W,,,,,,Guidance?
20,Natural,,0,FALSE,FALSE,FALSE,TRUE,the example code was useful for finding the answers the source code was a good starting point to see how to use functions,more structured defiition of functions categorizing the librarie's functions for usage & name,0,F-W-Sp,,,EC-U,,,,,,,,
21,Natural,,0,FALSE,TRUE,TRUE,TRUE,"Lots of documentation within source code, clear objectives and starting point","Annotated code had wrong documentation for ngrams (was suggesting trigrams(text, n), should be ngrams(text, n))",0,F-X,,TD-U,Cm-U,,,,,,,,
22,Natural,,0,FALSE,FALSE,FALSE,TRUE,"Testing the code, using console.log in areas that I didn't understand","less complicated code to start out with, there was a lot already there so it took me longer",0,,,,TC-W,,,,,Exp-U,,,
23,Natural,,0,FALSE,TRUE,FALSE,TRUE,Reading the templates and concept definitions. Copy-pasting the initialization code for the TFIDF. Console.logging the output of list terms.,"An explanation fo what list terms returned, it was not clear to me that the tfidf was a grouping strategy required by task 2. I did figure it out w/ the concept and template tho.",0,T-U C-U F-W-Sp,,,EC-U CP-U,,,,,Exp-U,,,
24,Natural,,0,FALSE,FALSE,FALSE,FALSE,"Reading the questions closely to derermine what the expected output was, and referring to the example code",I wanted to know what q2 meant by 'words that are particularly associated with characer compared to others' And if there was a library method that would automatically make this evaluation.,0,C-W-Sp F-W-Sp,,TD-U,,,,,,,,,
25,Natural,,0,FALSE,TRUE,TRUE,TRUE,The comments in the code and variable names. This time I looked at the task code first because it made more sense to me. The annotated code confused me because of the example in the comments. it seemed to clutter the code.,A list of all the variables / functions and what they are / do Comments in the annotated code like the task code,0,F-W-Sp,,,Cm-U VN-U EC-Cm-W,,,,,,,,
26,Natural,,0,FALSE,TRUE,TRUE,TRUE,console.log,"to my understanding, we had a bunch of n grams for a thacaracter and had to return the most common words - I wanted to put those into some sorting datastructure so either js library datastructures docs/ stack overflow didn't get what the example code was doing",0,,,,EC-X,,,,,Exp-U,,,
27,Natural,,0,FALSE,TRUE,FALSE,FALSE,"""- trial and error - Reading the annotations""","""- stronger context of the problem - more descriptive comments?""",0,C-U,,,Cm-W,,,,,Exp-U,,,wanted more context
28,Natural,,0,FALSE,FALSE,FALSE,FALSE,Nothing was very helpful; actually maybe the comments about what the different parts of the green code in index.js do were a bit helpful.,I would have liked some annotations on the example code like we had before to see what the different Natural functions do.,0,A-W F-W-Sp,N-U,,TC-Cm-U,,,,,,,,
29,Natural,,0,FALSE,FALSE,TRUE,TRUE,The annotations helped me to understand a little about the task. I was not able to quickly translate the learning from the example into meaningful progress on teh task. This might have been due to a lack of personal understanding on NGrams.,"The started code felt unintuitive. I was not able to interpret it. Additionally, I did not understand to '0.81332' and following #s from the example output; I couldn't determine [?] where in the sample code they came from.",0,A-U C-W-Sp F-W-Sp,,,TC-X,,,,Not PK-C,,,,
30,Natural,,0,FALSE,FALSE,TRUE,FALSE,What was most helpful was the instruction guide which told me which function to modify. I also like how the variables had actual names.,"The demo code did not help me at all for completing task 1, so I could not proceed further.",0,,,TD-U,VN-U EC-X,,,,,,,,
31,Natural,,0,FALSE,FALSE,FALSE,FALSE,Searching for any keywords that might be the key object or method helped me to find relevant sections from the example code.,0,0,,,,,,,S-U,,,,,
32,Natural,,0,FALSE,FALSE,TRUE,FALSE,[blank],I was very confused on what a ngram was and how to change its behavior. I would like to know how getwWordsNextToCharacterName worked or the filter.,0,C-W-Sp F-W-Sp,,,EC-W,,,,,,,,
33,Natural,,0,FALSE,TRUE,TRUE,TRUE,"""- I thought the concepts were really helpful since I sort of forgot what n-grams were - Also in the comments about what the output should be - I was able to complete the first task once I found the .ngrams(string, # of words)""","""- I thought that I could've use more information about the task 2. I was sort of confusted on what to do, on if we were to call getWordsNextToCharacterName. -""",0,C-U F-U-Sp,,TD-U TD-W,,,,,PK-C-U~,,,,
34,Natural,,0,FALSE,TRUE,TRUE,FALSE,I had to debug/remove some lines of code/change values / variables to visually see what I am working with. I felt I made more progress this set versus the first problem because at least I figured out what I needed to change.,The annotated notes were helpful but it wasn't enough to help me implement conceptual[?] code. I feel like I 'm struggling the part of actually applying and constructing the code I need.,0,A-U~,,,,,,,,Exp-U,,,
35,Natural,,0,FALSE,FALSE,FALSE,TRUE,Outputs given in the source code are very helpful. Comments in the code to be edited.,"More examples on how Natural works, what tfidf means",0,C-W-Sp,,,EC-U TC-Cm-U EC-W,,,,,,,,
36,Natural,,0,FALSE,TRUE,FALSE,TRUE,The example code had much more descriptive explanations than before.,I don't know. I got stuck on a silly mistake so I didn't give myself enough time to Figure out what I needed/wanted.,0,A-U,,,,,,,,,,,
37,Natural,,0,FALSE,FALSE,FALSE,FALSE,Having the html[?] code for ngrams,details of functions and attributes of Ngrams / Natural,0,F-W-Sp,,,,,,,,,,,Unclear
38,Natural,,0,FALSE,FALSE,FALSE,FALSE,Trying to read a line & look @ output then compare to another and use their differences to figure out what to do from there.,Any information / documentation for the library & functions. It was really confusing trying to figure out what any of it meant wihtout reference or ability to google things. I missed the fact annotations from before & specifications [?] the parameters you need would've been nice,0,A-W F-W,,,Co-U,,,,,,,,Google wanted
39,Natural,,0,FALSE,TRUE,FALSE,FALSE,"Reading comments in the task code. It may have been b/c of the half width window, but the example code was hard to read with the long lines and arrays that wrapped lines and were anonymous parameters.",What the tfidf thing was doing and why its useful. I thought I had to use it for finding the most common words but im not sure,0,C-W-Sp,,,EC-W TC-Cm-U,,,,,,,,
40,Natural,,0,FALSE,FALSE,FALSE,TRUE,"Ngram example, made the syntax clear. Once I saw this first task was doable. other tasks more related to language processing were harder.","info about ""tfidf"". Also wasn't sure how to group likley word, but I think tfidf could help w/ this. More structure to the annotated example would have helped a lot (would know where to look!)",0,C-W-Sp,,,EC-U EC-W,,,,,,,,
41,Natural,,0,FALSE,FALSE,TRUE,TRUE,The comments on the js code. The example codes are helpful but still hard.,I want to know more about the functions because I spent much of the time trying to understand what they are doing.,0,A-W-Sp,,,EC-U Cm-U,,,,,,,,
42,Natural,,0,FALSE,TRUE,TRUE,TRUE,"I tried copying from the example code but I don't think I was able to really get the syntax.... But basically was trying to find the spot in the code to insert ""ngrams(text,6)""","I didn't fully understand the example task... (like the ""before"" ""after"" boxes... I didn't get to TfIdf but I'm not sure what it was supposed to mean even if I did...",0,F-W-Sp,,TD-W,EC-U CP-U~,,,,,,,,
